Time,Heart_beat, Speed
1422185474.000000,171,3.081000
1422185480.000000,169,3.064000
1422185486.000000,169,3.058000
1422185492.000000,169,2.897000
1422185499.000000,168,3.035000
1422185503.000000,165,3.245000
1422185505.000000,163,3.061000
1422185512.000000,165,3.078000
1422185519.000000,167,3.051000
1422185526.000000,169,3.043000
1422185532.000000,170,3.117000
1422185537.000000,171,3.147000
1422185543.000000,173,3.186000
1422185551.000000,172,3.111000
1422185557.000000,171,2.850000
1422185563.000000,171,2.878000
1422185568.000000,170,2.962000
1422185573.000000,169,2.919000
1422185577.000000,169,2.726000
1422185579.000000,169,2.509000
1422185581.000000,167,0.304000
1422185584.000000,164,0.000000
1422185587.000000,160,0.000000
1422185589.000000,156,0.000000
1422185591.000000,153,0.168000
1422185593.000000,151,0.000000
1422185595.000000,148,0.000000
1422185598.000000,145,0.167000
1422185603.000000,141,0.000000
1422185605.000000,137,0.000000
1422185608.000000,134,0.237000
1422185612.000000,135,0.176000
1422185615.000000,137,0.525000
1422185617.000000,140,1.080000
1422185619.000000,143,1.722000
1422185621.000000,146,2.365000
1422185622.000000,147,2.624000
1422185626.000000,150,3.520000
1422185627.000000,151,3.621000
1422185630.000000,155,3.742000
1422185633.000000,158,3.591000
1422185634.000000,159,3.609000
1422185639.000000,161,3.722000
1422185646.000000,162,3.401000
1422185652.000000,162,3.167000
1422185657.000000,162,3.173000
1422185664.000000,162,3.030000
1422185670.000000,164,3.053000
1422185676.000000,163,3.053000
1422185681.000000,166,2.926000
1422185682.000000,166,2.899000
1422185688.000000,165,3.015000
1422185693.000000,165,3.023000
1422185694.000000,165,3.011000
1422185700.000000,164,3.055000
1422185701.000000,164,3.091000
1422185704.000000,162,3.017000
1422185709.000000,161,2.831000
1422185713.000000,164,2.635000
1422185718.000000,164,2.605000
1422185723.000000,167,3.041000
1422185727.000000,170,3.375000
1422185728.000000,170,3.430000
1422185732.000000,169,3.514000
1422185737.000000,168,3.115000
1422185742.000000,165,2.651000
1422185745.000000,161,2.180000
1422185747.000000,158,0.718000
1422185748.000000,157,0.385000
1422185750.000000,154,0.225000
1422185752.000000,151,0.310000
1422185754.000000,148,0.243000
1422185755.000000,147,0.176000
1422185760.000000,144,0.000000
1422185762.000000,141,0.125000
1422185767.000000,140,0.696000
1422185771.000000,139,0.749000
1422185778.000000,137,0.000000
1422185782.000000,134,0.171000
1422185785.000000,131,0.200000
1422185788.000000,129,0.000000
1422185793.000000,132,1.037000
1422185797.000000,135,2.078000
1422185798.000000,135,2.357000
1422185802.000000,138,3.048000
1422185804.000000,140,3.158000
1422185806.000000,143,3.353000
1422185808.000000,146,3.354000
1422185811.000000,149,3.564000
1422185813.000000,151,3.628000
1422185818.000000,154,3.457000
1422185819.000000,155,3.400000
1422185825.000000,155,3.105000
1422185828.000000,152,3.273000
1422185831.000000,151,3.230000
1422185836.000000,153,3.142000
1422185840.000000,156,2.930000
1422185842.000000,157,2.939000
1422185843.000000,157,2.957000
1422185848.000000,160,3.035000
1422185854.000000,160,2.928000
1422185856.000000,160,2.941000
1422185858.000000,160,2.901000
1422185864.000000,161,2.919000
1422185868.000000,164,3.021000
1422185870.000000,164,3.074000
1422185875.000000,165,3.224000
1422185881.000000,166,3.293000
1422185887.000000,165,3.178000
1422185891.000000,167,3.160000
1422185898.000000,167,3.093000
1422185904.000000,166,2.947000
1422185910.000000,166,2.966000
1422185915.000000,165,2.928000
1422185920.000000,164,2.862000
1422185927.000000,165,2.719000
1422185933.000000,164,2.631000
1422185939.000000,166,2.762000
1422185944.000000,167,2.859000
1422185945.000000,167,2.857000
1422185948.000000,165,2.859000
1422185953.000000,165,2.867000
1422185957.000000,166,2.984000
1422185961.000000,168,3.207000
1422185965.000000,169,3.297000
1422185966.000000,169,3.336000
1422185971.000000,168,3.155000
1422185977.000000,168,3.084000
1422185984.000000,168,3.196000
1422185991.000000,167,2.927000
1422185996.000000,168,2.931000
1422186002.000000,169,3.010000
1422186008.000000,170,3.009000
1422186013.000000,169,2.933000
1422186019.000000,168,2.646000
1422186021.000000,167,2.515000
1422186024.000000,164,2.329000
1422186030.000000,161,2.463000
1422186034.000000,161,2.648000
1422186035.000000,161,2.762000
1422186040.000000,163,2.640000
1422186044.000000,164,2.489000
1422186046.000000,165,2.567000
1422186052.000000,164,2.702000
1422186059.000000,165,3.159000
1422186065.000000,167,3.323000
1422186072.000000,167,3.200000
1422186073.000000,167,3.175000
1422186078.000000,168,3.064000
1422186079.000000,168,3.021000
1422186085.000000,167,2.817000
1422186088.000000,167,2.678000
1422186090.000000,166,2.692000
1422186094.000000,163,2.526000
1422186096.000000,162,2.508000
1422186099.000000,162,2.428000
1422186101.000000,161,2.529000
1422186106.000000,161,2.789000
1422186112.000000,159,2.976000
1422186118.000000,158,2.873000
1422186124.000000,161,2.931000
1422186125.000000,161,3.035000
1422186131.000000,161,3.422000
1422186134.000000,162,3.445000
1422186135.000000,163,3.467000
1422186140.000000,163,3.479000
1422186145.000000,166,3.450000
1422186150.000000,167,3.374000
1422186157.000000,168,3.236000
1422186164.000000,169,2.840000
1422186169.000000,168,2.692000
1422186170.000000,167,2.687000
1422186174.000000,167,2.732000
1422186175.000000,167,2.774000
1422186179.000000,168,2.804000
1422186185.000000,169,3.007000
1422186190.000000,170,3.336000
1422186196.000000,168,3.379000
1422186202.000000,167,2.982000
1422186208.000000,167,2.845000
1422186214.000000,166,2.834000
1422186219.000000,165,2.877000
1422186225.000000,162,2.837000
1422186226.000000,163,2.850000
1422186230.000000,162,2.612000
1422186232.000000,161,2.410000
1422186234.000000,161,2.325000
1422186239.000000,163,2.489000
1422186244.000000,166,3.049000
1422186249.000000,168,3.078000
1422186254.000000,169,3.159000
1422186257.000000,169,3.157000
1422186259.000000,169,3.151000
1422186265.000000,168,3.080000
1422186271.000000,168,2.999000
1422186273.000000,169,3.000000
1422186277.000000,169,3.132000
1422186284.000000,172,3.250000
1422186285.000000,172,3.248000
1422186288.000000,171,3.121000
1422186293.000000,170,3.109000
1422186297.000000,171,3.179000
1422186302.000000,171,3.223000
1422186307.000000,171,3.201000
1422186313.000000,171,3.210000
1422186318.000000,169,3.092000
1422186324.000000,168,2.875000
1422186328.000000,164,2.801000
1422186330.000000,161,2.824000
1422186335.000000,162,2.849000
1422186339.000000,165,2.906000
1422186341.000000,166,3.009000
1422186345.000000,169,2.940000
1422186352.000000,171,2.753000
1422186357.000000,168,2.602000
1422186359.000000,166,2.543000
1422186366.000000,164,2.453000
1422186372.000000,165,2.507000
1422186377.000000,167,2.680000
1422186382.000000,168,2.879000
1422186387.000000,167,2.940000
1422186393.000000,167,3.030000
1422186398.000000,167,3.040000
1422186403.000000,168,2.958000
1422186409.000000,170,2.778000
1422186413.000000,172,2.858000
1422186418.000000,172,3.070000
1422186423.000000,174,3.221000
1422186428.000000,176,3.194000
1422186433.000000,178,3.376000
1422186440.000000,176,3.276000
1422186441.000000,176,3.267000
1422186447.000000,173,3.095000
1422186454.000000,170,2.806000
1422186461.000000,168,2.661000
1422186467.000000,167,2.633000
1422186472.000000,166,2.664000
1422186473.000000,166,2.628000
1422186478.000000,166,2.738000
1422186484.000000,166,2.785000
1422186489.000000,166,2.852000
1422186495.000000,167,2.825000
1422186500.000000,166,2.701000
1422186505.000000,165,2.740000
1422186508.000000,166,2.742000
1422186511.000000,165,2.723000
1422186514.000000,166,2.678000
1422186515.000000,167,2.691000
1422186521.000000,166,2.649000
1422186526.000000,166,2.587000
1422186531.000000,166,2.529000
1422186536.000000,166,2.509000
1422186542.000000,167,2.575000
1422186547.000000,167,2.544000
1422186554.000000,167,2.379000
1422186559.000000,166,2.474000
1422186564.000000,164,2.476000
1422186570.000000,165,2.512000
1422186573.000000,166,2.454000
1422186576.000000,165,2.463000
1422186581.000000,165,2.509000
1422186587.000000,165,2.776000
1422186592.000000,164,2.885000
1422186594.000000,164,2.787000
1422186596.000000,164,2.796000
1422186601.000000,165,2.643000
1422186606.000000,166,2.569000
1422186612.000000,166,2.571000
1422186616.000000,168,2.617000
1422186617.000000,168,2.638000
1422186621.000000,169,2.697000
1422186626.000000,168,2.834000
1422186630.000000,165,2.823000
1422186633.000000,165,2.906000
1422186639.000000,162,2.805000
1422186645.000000,163,2.718000
1422186651.000000,164,2.584000
1422186657.000000,165,2.579000
1422186663.000000,165,2.633000
1422186669.000000,164,2.659000
1422186674.000000,163,2.754000
1422186676.000000,160,2.792000
1422186678.000000,158,2.785000
1422186681.000000,155,2.755000
1422186683.000000,152,2.660000
1422186684.000000,152,2.613000
1422186688.000000,156,2.627000
1422186690.000000,159,2.633000
1422186692.000000,163,2.668000
1422186695.000000,166,2.853000
1422186696.000000,167,2.907000
1422186700.000000,170,2.966000
1422186703.000000,171,3.043000
1422186706.000000,171,3.001000
1422186710.000000,168,2.836000
1422186716.000000,167,2.836000
1422186721.000000,166,2.879000
1422186727.000000,166,2.764000
1422186732.000000,166,2.673000
1422186739.000000,164,2.672000
1422186744.000000,165,2.749000
1422186751.000000,165,2.683000
1422186758.000000,165,2.602000
1422186765.000000,163,2.761000
1422186772.000000,162,2.865000
1422186773.000000,162,2.886000
1422186779.000000,163,3.016000
1422186785.000000,164,2.954000
1422186791.000000,165,2.843000
1422186797.000000,166,2.746000
1422186800.000000,166,2.512000
1422186802.000000,166,2.530000
1422186804.000000,167,2.642000
1422186807.000000,170,3.009000
1422186809.000000,171,3.397000
1422186811.000000,174,3.951000
1422186813.000000,177,4.267000
1422186818.000000,179,4.195000
1422186823.000000,179,3.612000
1422186827.000000,180,3.472000
1422186832.000000,180,3.428000
1422186833.000000,181,3.439000
1422186837.000000,181,3.482000
1422186842.000000,180,3.271000
1422186846.000000,180,3.002000
1422186850.000000,179,2.949000
1422186856.000000,180,3.555000
1422186858.000000,179,3.553000
1422186860.000000,179,3.593000
1422186864.000000,178,3.307000
1422186867.000000,178,3.293000
1422186869.000000,178,3.315000
1422186874.000000,177,3.275000
1422186879.000000,176,2.859000
1422186883.000000,175,2.821000
1422186888.000000,173,2.637000
1422186891.000000,173,2.608000
1422186893.000000,173,2.435000
1422186898.000000,172,2.300000
1422186903.000000,173,2.606000
1422186908.000000,172,2.705000
1422186909.000000,172,2.700000
1422186913.000000,171,2.589000
1422186914.000000,170,2.592000
1422186919.000000,170,2.831000
1422186921.000000,170,2.913000
